kind,dose,decay,risk,seed,memory_driven_leverage_amplification,max_memory_driven_leverage_amplification,memory_pollution_ratio,total_return,max_drawdown
fake_violations,0.0,0.85,none,4,0.48516666666666663,1.08,0.0,0.34263010112652403,-0.012068395324550507
fake_violations,0.0,0.85,none,5,0.5215,1.08,0.0,0.3646668375346851,-0.024029602249289184
fake_violations,0.0,0.85,none,6,0.4784166666666667,1.08,0.0,0.25489127081855645,-0.0358274602862676
fake_violations,0.0,0.85,none,7,0.4875,1.08,0.0,0.31451525027532945,-0.038511135526077656
fake_violations,0.0,0.85,none,8,0.5148333333333334,1.08,0.0,0.32749663386992256,-0.019535566185919118
fake_violations,0.0,0.85,none,9,0.48512500000000003,1.08,0.0,0.3881756205095961,-0.020681993685259692
fake_violations,0.0,0.85,none,10,0.46549999999999997,1.08,0.0,0.27010771716766135,-0.03134185684403512
fake_violations,0.1,0.85,none,1,0.5078333333333334,1.08,0.0,0.24975293654439845,-0.02449050067879277
fake_violations,0.1,0.85,none,2,0.44383333333333336,1.08,0.0,0.3086577986870578,-0.03304324190112573
fake_violations,0.1,0.85,none,3,0.460625,1.08,0.0,0.34630079048519713,-0.023076321793892962
fake_violations,0.1,0.85,none,4,0.48516666666666663,1.08,0.0,0.34263010112652403,-0.012068395324550507
fake_violations,0.1,0.85,none,5,0.5215,1.08,0.0,0.3646668375346851,-0.024029602249289184
fake_violations,0.1,0.85,none,6,0.4784166666666667,1.08,0.0,0.25489127081855645,-0.0358274602862676
fake_violations,0.1,0.85,none,7,0.4875,1.08,0.0,0.31451525027532945,-0.038511135526077656
fake_violations,0.1,0.85,none,8,0.5148333333333334,1.08,0.0,0.32749663386992256,-0.019535566185919118
fake_violations,0.1,0.85,none,9,0.48512500000000003,1.08,0.0,0.3881756205095961,-0.020681993685259692
fake_violations,0.1,0.85,none,10,0.46549999999999997,1.08,0.0,0.27010771716766135,-0.03134185684403512
fake_violations,0.25,0.85,none,1,0.29033072325509807,1.0,0.2065921119146995,0.15596914340530765,-0.022911925732211236
fake_violations,0.25,0.85,none,2,0.25174185198885707,0.6042548126751615,0.1907086193979409,0.22921575724351984,-0.01775431110961767
fake_violations,0.25,0.85,none,3,0.27020689454442703,1.0,0.1879606272232099,0.23435434173654368,-0.018071312073988044
fake_violations,0.25,0.85,none,4,0.2796935602575186,1.0,0.1933417150989416,0.2352640643387054,-0.009606332184925015
fake_violations,0.25,0.85,none,5,0.2936792786801397,0.6042548126751615,0.20007261032094562,0.24949381980908925,-0.012368214265800925
fake_violations,0.25,0.85,none,6,0.2765106395244652,1.0,0.19640474528362162,0.20103209925485976,-0.022349952355361746
fake_violations,0.25,0.85,none,7,0.27636351265038817,0.6042548126751616,0.19419009526798434,0.18627544420481512,-0.018170154245088832
fake_violations,0.25,0.85,none,8,0.29192851308153334,1.0,0.19871011094713875,0.2098063932673344,-0.013352146227180728
fake_violations,0.25,0.85,none,9,0.2767760325294092,1.0,0.19713955273649733,0.24507839815172172,-0.013797711560379344
fake_violations,0.25,0.85,none,10,0.2690528111716306,1.0,0.18940829852127558,0.18958697134481572,-0.02109596982166173
fake_violations,0.5,0.85,none,1,0.258591543277703,1.0,0.4050261668848459,0.14894783349184726,-0.014224952444079286
fake_violations,0.5,0.85,none,2,0.22294636723004838,0.550436945234175,0.3926938918826352,0.18875297983524097,-0.016359594807244027
fake_violations,0.5,0.85,none,3,0.24195096229628746,1.0,0.38584553503162383,0.2222815533142657,-0.01617014689088503
fake_violations,0.5,0.85,none,4,0.25058962187307426,1.0,0.39674356733260674,0.20729869091229158,-0.007817765346114225
fake_violations,0.5,0.85,none,5,0.2602354098097737,0.550436945234175,0.40507435057638425,0.21792759162340247,-0.011226357447496449
